"id_marche","date_notification","objet_marche","montant_marche","id_acheteur","code_postal_acheteur"
"202422V0135-02","2024-03-07","RC100 - LOT 2 - MAINTENANCE ELECTRICITE DANS LES ETABLISSEMENTS SOCIAUX, CULTURELS, CULTUELS ET D'ANIMATION DE LA VILLE DE NICE","2400000.0000","21060088800015","06364"
"202525N0798-00","2025-12-12","FHA LOCATION ET MAINTENANCE DE MACHINES A AFFRANCHIR AVEC FOURNITURE DES CONSOMMABLES","80000.0000","20003019500115","06364"
"20252025-038","2025-12-02","RESPONSABILITÉ CIVILE ET RISQUES ANNEXES","59252.7000","20006779100018","09000"
"202422V0530-01","2024-01-23","RC100 - LOT 1 - MENUISERIE BATS ADM ET DIVERS , ANIMANICE","7236000.0000","21060088800015","06364"
"202424C0001-01","2024-04-05","GE 100-EXPLOITATION DE LA CUISINE DE FABRICATION DE L'EHPAD VALROSE","1947008.0000","26060047300011","06364"
"202423N0084-BC","2024-01-18","MARCHE MIXTE PARTIE BONS DE COMMANDE","1200000.0000","20003019500115","06364"
"2023-65","2024-01-02","lot 11 peinture sols souples COSEC ","53433.7500","21720095500011","69100"
"202422V0135-03","2024-03-07","RC100 - LOT 3 - MAINTENANCE ELECTRICITE DANS LES ETS SPORTIFS DE LA VDN","2400000.0000","21060088800015","06364"
"202525CC04 - L","2025-06-19","LOT 1 - PERSONNEL TECHNIQUE","1400000.0000","39523504700051","06200"
"202525CC04-L3","2025-06-19","LOT 3 - PERSONNEL BAR ET RELATIONS PUBLIQUES","1000000.0000","39523504700051","06200"
"20232023021","2023-02-28","Entretien et remplacement des appareils d'incendie publics (DPGF)","175328.8000","21930029000018","93700"
"20232023029","2023-03-07","Maintenance des systèmes de sureté des bâtiments communaux - DPGF","90000.0000","21930029000018","93700"
"20252025-040","2025-12-02","RISQUES STATUTAIRES AGENTS AFFILIÉS CNRACL","143668.0000","20006779100018","09000"
"20252025-039","2025-12-02","FLOTTE VÉHICULES ET RISQUES ANNEXES","74355.0000","20006779100018","09000"
"202201","2024-06-18","CONSTRUCTION MAIRIE - VRD EUROVIA - LOT No1","248037.2000","21720320700014","72650"
"202522V0575-01","2025-01-21","GJ - REVETEMENTS BATIMENTS ET EQUIPEMENTS ADMINISTRATIFS ET DIVERS DE LA METROPOLE NCA","2029600.0000","20003019500115","06364"
"20242024064","2024-06-20","LOT 5 SERRURERIE","155435.7600","21930029000018","93700"
"2026M250101","2026-01-19","FOURNITURE ET LIVRAISON DE MATERIELS D ARTS PLASTIQUES SPECIALISES POUR LA VILLE DE BONDY","180000.0000","21930010000019","93010"
"202220N0565-02","2022-01-27","FF - SERVICES DE TELECOMMUNICATIONS DONNEES","2400000.0000","20003019500115","06364"
"2026M259504","2026-01-19","FABRICATION FOURNITURE ET POSE DE JEUX ET MOBILIERS BOIS SUR MESURE ET STANDARS POUR LES 3 COURS D ECOLES DU GROUPE SCOLAIRE SALENGRO BETHINGER","227956.3000","21930010000019","93010"
"2026M256001","2025-11-07","MAINTENANCE INCOVAR + MAINTENANCE CORRECTIVE ET CURATIVE PREVENTIVE ET EVOLUTIVE DU PROGICIEL INCOVAR","120000.0000","21930010000019","93010"
"20232023066","2023-04-17","PRESTATIONS DE DIAGNOSTICS AMIANTE DES BÂTIMENTS DE LA VILLE DE DRANCY","400000.0000","21930029000018","93700"
"20252025023","2025-04-15","Lot 1: Couverture - Etanchéité","332056.9100","21930029000018","93700"
